Unnamed: 0,data,gtin,ncm,des_item_norm,unidade,valor_unit_liq,qtd_geral_item,qtd_reg_consolid,volume_financeiro
91,2024-11-08,7893000979932,1019000,MARGARINA DELINE COM SAL 250G,UN,3.49,1.0,1,3.49
583,2024-12-26,7891150047341,1012900,SOBREMESA NO KG U,UN,90.0,1346.0,9,121140.0
770,2024-05-12,7896481130137,1019000,FLOCAO CORINGA 500G,UN,2.75,1.0,1,2.75
806,2024-08-18,7898060250014,1019000,ACUCAR CRISTAL AGROVALE 1KG,UND,5.0,2.0,1,10.0
816,2024-08-01,7898929966056,1012100,LEITE PO INTEGRAL CCGL 200G,UN,10.49,2.0,2,20.98
852,2024-11-12,7896090082063,1012900,FARINHA DE TRIGO FINNA,UN,5.9,1.0,1,5.9
903,2024-12-11,7896090082063,1012900,FARINHA DE TRIGO FINNA,UN,5.9,1.0,1,5.9
933,2024-11-14,7893000979932,1012100,MARGARINA DELINE 250G,UN,4.9,13.0,2,63.7
1078,2024-12-18,7897318507016,1022990,MANTEIGA ORIG DAVACA 200G,UN,11.0,1.0,1,11.0
1220,2024-07-29,7893000482401,1063900,P FGO CONG SADIA BJ 1KG FILE PEITO,UNID,19.75,1.0,1,19.75
1251,2024-08-10,7894904015849,1022190,FILEZINHO PEITO CG BDJ SEARA 1KG,UND,26.9,1.0,1,26.9
1295,2024-08-12,7898956087014,1059900,UVA VERDE BDJ,UN,15.49,1.0,1,15.49
1464,2024-10-29,7891021006927,1019000,CAFE EXTRA FORTE 250G MELITTA,Uni,12.9,1.0,1,12.9
1564,2024-08-20,7898387120380,1012900,LEITE LIQUIDO NATIVILLE INTEGRAL 1 L,UN,6.55,1.0,1,6.55
1608,2024-08-11,7898945133203,1059900,LEITE LIQUIDO DAMARE 1LT,UN,6.99,1.0,1,6.99
1631,2024-07-28,7898929966056,1012900,LEITE EM PO CCGL INTEGRAL 200G,UN,8.25,8.0,1,66.0
1802,2024-07-06,7898080640413,1019000,LEITE CONDENSADO ITALAC 395G,UN,7.99,1.0,1,7.99
1839,2024-07-05,7891000379691,1019000,NESCAL 370GR,UN,10.8,1.0,1,10.8
1906,2024-06-14,7898286200060,1012100,CAFE MARATA ALMOFADA 250G,UN,9.99,11.0,2,109.89
2200,2024-07-24,7893000980006,1059900,MARGARINA DELINE 500G,UN,6.99,1.0,1,6.99
2202,2024-06-26,7898286200060,1022990,CAFE MARATA 250G ALMOFADA,UN,10.6,1.0,1,10.6
2349,2024-05-27,7896038321056,1022990,ARROZ TIO URBANO 1KG BCO,UN,7.73,1.0,1,7.73
2381,2024-06-25,7893000979932,1012900,DELINE MARGARINA 250G,UN,3.48,1.0,1,3.48
2468,2024-06-23,7896090082063,1012900,01012900 FARINHA TRIGO FINNA S FER 1KG,UN,5.78,4.0,4,23.12
2489,2024-06-24,7898929966056,1042090,LEITE EM PO INTEGRAL CCGL 200 GR,UN,8.5,9.0,5,76.5
2510,2024-11-04,7894904015108,1031000,FILE PEITO SEARA BDJ 1KG,UN,24.99,1.0,1,24.99
2522,2024-11-09,7896005800362,1012900,CAFE TM 3C TRAD VAC 20X250G,UNI,10.25,1.0,1,10.25
2736,2024-06-11,7891000379691,1012900,01012900 ACHOCOLATADO PO NESCAU 370G,UN,10.48,1.0,1,10.48
2796,2024-10-28,7898403782387,1041090,LEITE BETANIA1L,UN,6.89,2.0,2,13.78
2851,2024-09-09,7898040082451,1031000,FILE DE PEITO SUPER FRANGO 1KG,UN,22.0,5.0,5,110.0
2872,2024-10-23,7891000065440,1012900,01012900 LEITE COND MOCA CX 395G,UN,7.98,2.0,2,15.96
2954,2024-09-18,7898302291393,1012900,COSTELA DE BOI KG,UN,15.99,13882.0,6,221973.18
3028,2024-06-22,7898080640413,1012900,LEITE COND ITALAC TP 395G,UN,5.45,2.0,1,10.9
3067,2024-12-19,7891000325858,1012900,01012900 LEITE NINHO 380G,UN,20.98,2.0,2,41.96
3198,2024-06-03,7898932426042,1059900,FLOCAO MARATA 500G OFERTA 01 06,UN,1.69,2.0,1,3.38
3206,2024-05-24,7898929966056,1023990,CCGL LEITE EM PO INTEGRAL 200G,UN,8.0,2.0,2,16.0
3227,2024-08-14,7891164018214,1059900,FILE DE PEITO AURORA BAND KG,UN,17.49,5.0,2,87.44999999999999
3280,2024-09-22,7896090082063,1012900,FARINHA DE TRIGO FINNA SF 1KG,UND,5.78,1.0,1,5.78
3325,2024-11-01,7898387120380,1012100,LEITE LIQ NATVILLE 1L,1/4,6.5,1.0,1,6.5
3421,2024-11-07,7896090082063,1012900,FARINHA DE TRIGO FINNA SF 1KG,UND,5.78,2.0,2,11.56
3501,2024-12-23,7891008116632,1012900,01012900 BOMBONS SORTIDOS GAROTO 250G,UN,13.98,9.0,7,125.82000000000001
3986,2024-07-22,7891008116632,1041019,BOMBOM GAROTO 250 G,UNID,11.99,1.0,1,11.99
3990,2024-09-18,7896393601046,1012900,ARROZ CACAROLA PARBOLIZADO 1 KG,UN,6.39,30.0,1,191.7
4558,2024-10-22,7898040082451,1012900,FILE DE FRANGO SUPER FRANGO 1KG,UN,22.99,2.0,2,45.98
4614,2024-08-13,7891000325858,1012900,NINHO LEITE EM PO INTEGRAL 380G,UND,19.98,1.0,1,19.98
4658,2024-08-27,7891107101621,1012100,OLEO SOYA 900ML,UN,7.39,4.0,4,29.56
5008,2024-11-12,7891107101621,1019000,OLEO SOJA REFIN SOYA PET 20X900ML,UN,9.95,1.0,1,9.95
5044,2024-12-06,7897318507016,1042090,MANTEIGA COM SAL 200G DAVACA,UN,10.0,2.0,2,20.0
5214,2024-12-19,7891000325896,1031000,LEITE PO NINHO INTEGRAL 800G,UN,36.5,1.0,1,36.5
5590,2024-08-06,7893000980006,1012100,MARGARINA DELINE C SAL 500G,UN,6.99,3.0,3,20.97
5760,2024-09-29,7898302291638,1022990,BUCHO KG,KG,16.19,2.3089,2,37.381091000000005
5906,2024-12-10,7894904084227,1012900,LINGUICA TOSCANA SEARA KG,KG,28.89,5.4878,3,158.542542
6009,2024-06-21,7893000979932,1012900,DELINE MARGARINA 250G,UN,1.98,23.0,10,45.54
6297,2024-07-09,7896036090244,1012900,OLEO DE SOJA LIZA,UN,6.6,1.0,1,6.6
6446,2024-07-16,7898945133203,1012900,LEITE LV DAMARE INTEGRAL 1LT,UN,6.35,1.0,1,6.35
6569,2024-08-23,7891515974534,1012900,01012900 MORTADELA PERDIGAO BARRA,UN,27.0,1.0,1,27.0
6670,2024-07-21,7896090082063,1012900,01012900 FARINHA TRIGO FINNA S FER 1KG,UN,5.78,1.0,1,5.78
6826,2024-12-23,7898935435027,1012900,ACUCAR BELLA 1K,UN,4.59,4.0,4,18.36
6950,2024-08-06,7891008116632,1031000,BOMBONS GAROTO CX,UN,13.49,2.0,2,26.98
7090,2024-10-23,7893000482401,1022190,FILE DE PEITO DE FRANGO SEM OSSO SADIA 1KG,UN,22.99,6.0,3,137.94
7186,2024-09-18,7896481130137,1031000,FLOCAO CORINGA 500G,UN,2.89,2.0,2,5.78
7211,2024-09-12,7894904197712,1022190,SOBRECOXA CONG IQF SEARA 1 KG,UN,16.69,3.0,2,50.07000000000001
7236,2024-08-19,7891008116632,1012900,BOMBOM GAROTO SORTIDO 250G,UN,13.95,1.0,1,13.95
7261,2024-07-25,7898929966056,1019000,LEITE CCGL 200G,UN,8.0,4.0,2,32.0
7377,2024-08-17,7891164166700,1012100,CARNES DIVERSAS KG,UNID,26.83,1.0,1,26.83
7436,2024-05-30,7898286200060,1012100,CAFE MARATA ALMOFADA 250G,UN,9.99,1.0,1,9.99
7553,2024-11-18,7896090082063,1012900,FARINHA DE TRIGO FINNA TRADICIONAL 1K,UN,6.09,4.0,1,24.36
7555,2024-11-18,7898927146450,1012900,TOUCINHO KG,kg,28.92,74.0,1,2140.08
7583,2024-12-12,7896090082063,1012100,FINNA SEM FERMENTO 1KG,DB,5.69,2.0,1,11.38
7635,2024-12-23,7898945133203,1012900,LEITE INTEGRAL DAMARE 1 LT,UN,5.99,43.0,40,257.57
7891,2024-07-26,7898403782387,1013000,BETANIA EDGE LEITE,Un,6.5,1.0,1,6.5
7980,2024-12-30,7898929966056,1022190,LEITE EM PO INTEGRAL CCGL 200G,UND,9.75,1.0,1,9.75
7981,2024-07-29,7898932426042,1042090,FLOCAO MARATA 500G,UN,1.99,3.0,3,5.97
8042,2024-07-24,7898060250014,1022990,ACUCAR CRISTAL 1KG AGROVALE SENXOFRE,UND,5.0,2.0,2,10.0
8150,2024-05-14,7891000379691,1012900,01012900 ACHOCOLATADO PO NESCAU 370G,PC,9.78,1.0,1,9.78
8173,2024-11-19,7898929966056,1019000,LEITE CCGL 200G,UN,8.0,6.0,2,48.0
8474,2024-11-30,7896481130137,1031000,FLOCAO CORINGA 500G,UN,2.89,1.0,1,2.89
8476,2024-11-29,7896090082063,1012100,FINNA SEM FERMENTO 1KG,DB,5.69,1.0,1,5.69
8731,2024-10-23,7898080640413,1019000,LEITE CONDENSADO ITALAC 395G,UN,7.99,1.0,1,7.99
8805,2024-05-09,7893000482401,1051500,FILE FRANGO SADIA 1KG,KG,21.99,1.0,1,21.99
8986,2024-09-30,7896089012637,1019000,CAFE PILAO 250G VACUO,UN,13.9,1.0,1,13.9
9048,2024-09-18,7891000325858,1031000,LEITE EM PO NINHO INTEGRAL 380G,UN,22.59,1.0,1,22.59
9186,2024-11-11,7896259410133,1012900,LEITE CAMPONESA,UND,7.9,8.0,8,63.2
9266,2024-10-31,7898080640413,1012900,LEITE CONDENSADO SEMIDESNATADO ITALAC 395G,UN,8.6,1.0,1,8.6
9421,2024-06-21,7898286200060,1012100,CAFE MARATA ALMOFADA 250G,UN,9.99,19.0,15,189.81
9514,2024-06-22,7891000065440,1012900,LEITE CONDENSADO MOCA NESTLE 395G,UND,6.98,1.0,1,6.98
9584,2024-12-21,7896090082063,1012900,FARINHA DE TRIGO FINNA,UN,5.9,1.0,1,5.9
9617,2024-07-10,7893000482401,1063900,FILE DE PEITO SADIA,UN,24.99,1.0,1,24.99
9689,2024-07-17,7896090082063,1012900,FARINHA DE TRIGO FINNA,UN,5.4,2.0,2,10.8
9933,2024-09-29,7893000980006,1012900,DELINE MARGARINA 500G,UN,6.48,1.0,1,6.48
9988,2024-11-07,7893000979932,1019000,MARGARINA DELINE COM SAL 250G,UN,3.49,2.0,2,6.98
10247,2024-10-02,7898403781298,1012900,BETANIA LEITE CONDENSADO 395G,UND,6.78,1.0,1,6.78
10288,2024-07-03,7893000394209,1019000,MARG QUALY 500G,UN,9.6,1.0,1,9.6
10333,2024-07-01,7891000325858,1012900,01012900 LEITE NINHO 400G,UN,15.98,5.0,5,79.9
10474,2024-12-24,7898937117037,1019000,FRANGO CONG AVIVIP KG,KG,10.99,2.3003,1,25.280297
10506,2024-10-11,7893000394209,1012100,MARG QUALY 500G,UN,10.99,1.0,1,10.99
10758,2024-05-12,7891150047341,1012900,SOBREMESA NO KG U TRANSF FICHA 122,UN,85.0,118.0,1,10030.0
10778,2024-05-05,7893000979932,1019000,MARGARINA DELINE 250 G SADIA,UN,16.0,1.0,1,16.0
10790,2024-08-25,7893000979932,1012900,MARGARINA DELINE 250G,UN,2.29,1.0,1,2.29
10839,2024-11-08,7896012300213,1012900,ARROZ EMOCOES PARBO 1K,UN,8.08,3.0,3,24.240000000000002
11351,2024-11-25,7891515432317,1041090,LINGUICA CALABRESA PERDIGAO,ND,32.0,5.0,5,160.0
11369,2024-07-23,7898297060011,1022110,FRANGO INTEIRO CONGELADO,KG,12.0,25.0,1,300.0
11430,2024-08-05,7898286200060,1012100,CAFE MARATA ALMOFADA 250G,UN,10.89,20.0,15,217.8
11693,2024-11-02,7894904015108,1051110,FILE DE PEITO SEARA 1KG,Un,28.3,2.0,1,56.6
11747,2024-12-03,7891515432317,1041090,LINGUICA CALABRESA PERDIGAO,ND,32.0,9.0,9,288.0
11921,2024-10-09,7898929966056,1019000,LEITE EM PO INT CCGL SACHE 50X200GR,FD,8.95,1.0,1,8.95
11932,2024-08-08,7891008116632,1029000,BOMBOM GAROTO CX 250G,CX,13.9,1.0,1,13.9
12456,2024-06-09,7891008116632,1019000,CX CHOCOLATE GAROTO 250 G,Uni,15.9,1.0,1,15.9
12503,2024-10-06,7898927146450,1012900,TOUCINHO KG,kg,28.98,216.0,1,6259.68
12674,2024-05-10,7891000325896,1031000,LEITE PO NINHO INTEGRAL 800G,UN,31.5,3.0,2,94.5
12740,2024-10-19,7891107101621,1012900,OLEO DE SOJA SOYA 900ML,UN,6.15,1.0,1,6.15
12998,2024-05-24,7894904861378,1012900,MORTADELA CONFIANCA 3 5KG,UN,35.0,2.0,2,70.0
13110,2024-05-18,7898929966056,1012900,LEITE EM PO CCGL 200G,UND,7.48,3.0,3,22.44
13129,2024-06-11,7891000325858,1031000,LEITE NINHO LT 380G,UN,17.99,1.0,1,17.99
13266,2024-06-17,7893000979932,1012100,MARGARINA DELINE 250G,UN,4.9,1.0,1,4.9
13348,2024-10-20,7898403782387,1041090,LEITE BETANIA1L,UN,6.89,1.0,1,6.89
13351,2024-05-05,7898286200039,1012100,CAFE MARATA TRADICIONAL 250G,UN,9.99,1.0,1,9.99
13400,2024-11-10,7891515340278,1061400,LUINGUICA DE CARNE SUINA AURORA,ND,25.0,1.0,1,25.0
13622,2024-07-04,7891000325896,1059900,LEITE EM PO NINHO INTEGRAL 750G,UN,34.99,1.0,1,34.99
13759,2024-07-19,7898929966056,1059900,LEITE EM PO CCGL 200G,UN,8.89,1.0,1,8.89
13789,2024-06-27,7891107101621,1019000,OLEO DE SOJA SOYA 900ML,UN,7.49,3.0,3,22.47
13823,2024-07-10,7893000482401,1022190,FILE DE PEITO DE FRANGO SEM OSSO SADIA 1KG,UN,24.99,5.0,3,124.94999999999999
13853,2024-08-21,7898080640413,1012900,LEITE CONDENSADO ITALAC 395 G,UN,6.75,1.0,1,6.75
13930,2024-05-15,7898080640413,1012900,01012900 LEITE CONDENSADO ITALAC 395G,UN,5.99,12.0,5,71.88
13965,2024-08-26,7898060250014,1012100,ACUCAR CRISTAL AGROVALE 1KG,UN,4.49,1.0,1,4.49
14066,2024-07-09,7896038321056,1012900,ARROZ TIO URBANO 1 KG,UN,6.19,2.0,1,12.38
14168,2024-07-21,7896090082063,1012900,FARINHA DE TRIGO FINNA S F 1KG,UN,5.85,3.0,1,17.549999999999997
14279,2024-12-02,7897318507016,1012900,01012900 MANTEIGA DA VACA 200,UN,9.98,2.0,2,19.96
14423,2024-10-05,7896090082063,1012900,FARINHA DE TRIGO FINNA SF 1KG,UND,5.78,2.0,2,11.56
14519,2024-06-07,7893000979932,1042090,MARGARINA DELINE 250G,UN,2.99,1.0,1,2.99
14880,2024-05-08,7891000325858,1041090,LEITE NINHO PO 380G,UN,17.49,1.0,1,17.49
14888,2024-06-06,7891000325896,1059900,LEITE EM PO NINHO INTEGRAL 750G,UN,34.99,1.0,1,34.99
14895,2024-09-16,7891000325858,1031000,LEITE EM PO NINHO INTEGRAL 380G,UN,22.59,1.0,1,22.59
14925,2024-10-18,7891021006071,1012100,CAFE MELITTA TRADICIONAL 250G,UN,13.49,1.0,1,13.49
15008,2024-06-16,7896036090244,1012900,OLEO LIZA,UND,7.9,1.0,1,7.9
15155,2024-08-01,7891021006071,1042090,CAFE A VACUO 250G MELITA,UN,10.89,1.0,1,10.89
15422,2024-10-25,7893000437104,1012100,MOELA SADIA 1KG,Un,11.5,3.0,3,34.5
15467,2024-07-08,7896090082063,1012900,FARINHA TRIGO FINNA,UN,6.5,1.0,1,6.5
15587,2024-09-16,7898040082451,1059400,FILE DE PEITO SUPER FRANGO,UN,23.99,2.0,2,47.98
15654,2024-05-16,7893000979932,1012900,DELINE MARGARINA 250G,UN,2.48,32.0,17,79.36
15807,2024-05-07,7893000979932,1012900,01012900 MARGARI DELINE 250G,UN,3.48,4.0,3,13.92
15892,2024-06-24,7891164166700,1012100,CARNES DIVERSAS KG,UNID,25.0,2.0,2,50.0
16083,2024-07-05,7896224814126,1019000,CAFE SANTA CLARA VACUO 20X250GR,UN,10.91,3.0,1,32.730000000000004
16183,2024-08-07,7891150047341,1012900,SOBREMESA NO KG U,UN,85.0,758.0,5,64430.0
16288,2024-09-21,7891515220983,1012900,SALSICHA PERDIGAO KG,KG,13.47,366.0,1,4930.02
16311,2024-11-23,7891164018214,1031000,FILE PEITO AURORA BANDEJA CONG,UN,24.99,1.0,1,24.99
16365,2024-07-16,7891008116632,1041011,BOMBOM GAROTO,UN,14.99,1.0,1,14.99
16721,2024-11-15,7898403780918,1022990,LEITE BETANIA INTEGRAL 200G,UND,8.79,1.0,1,8.79
16758,2024-12-07,7896051130086,1064100,LEITE PO ITAMBE INT VIT POUCH 24291,UN,33.0,1.0,1,33.0
16924,2024-10-08,7897318507016,1012900,01012900 MANTEIGA DAVACA 200,UN,9.98,1.0,1,9.98
16976,2024-06-14,7898932426042,1022919,FLOCAO MARATA 500G,UN,1.85,1.0,1,1.85
17260,2024-07-27,7893000979932,1012100,MARGARINA DELINE C SAL 250G,UN,3.99,1.0,1,3.99
17422,2024-09-01,7893000005945,1012900,01012900 FILE PEITO SADIA PCT 1KG,UN,24.99,1.0,1,24.99
17639,2024-10-04,7891008116632,1042090,BOMBONS SORTIDOS 250G GAROTO,UN,13.29,3.0,3,39.87
17649,2024-12-24,7891008116632,1022919,CHOCOLATE GAROTO,UN,14.25,3.0,3,42.75
17652,2024-09-30,7894904015108,1051400,FILE PEITO SEARA BDJ 1KG,UN,22.99,4.0,4,91.96
17848,2024-11-19,7893000979932,1042090,MARGARINA DELINE 250G,UN,2.99,2.0,2,5.98
18302,2024-07-21,7898945133203,1012900,LEITE LV DAMARE INTEGRAL 1LT,UN,6.35,2.0,2,12.7
18540,2024-07-03,7898403782929,1019000,LEITE EM PO BETENIA INTEGRAL 800G,UN,25.9,3.0,3,77.69999999999999
18701,2024-08-24,7891008116632,1059900,CAIXA DE CHOC GAROTO 250G,UN,14.99,1.0,1,14.99
18703,2024-09-12,7893000005945,1051110,FILE DE PEITO SADIA FRANGO QF SOP 1KG,UN,25.0,1.0,1,25.0
18726,2024-07-09,7898297060011,1022110,FRANGO INTEIRO CONGELADO,KG,11.92,62.0,1,739.04
18857,2024-07-17,7891000379691,1012900,ACHOCALATADO EM PO NESCAU 370G,UND,12.6,3.0,3,37.8
18862,2024-10-11,7891107101621,1012100,OLEO SOYA 900ML,UN,7.99,16.0,15,127.84
